Labels	Hf-2(PCN-223)-EM 660 2	
350.00	2.50120453E+5	
351.00	2.56177172E+5	
352.00	2.53803484E+5	
353.00	2.59221625E+5	
354.00	2.58155109E+5	
355.00	2.60834344E+5	
356.00	2.64106156E+5	
357.00	2.63285156E+5	
358.00	2.70358406E+5	
359.00	2.72989344E+5	
360.00	2.76917969E+5	
361.00	2.79828500E+5	
362.00	2.82450094E+5	
363.00	2.89377531E+5	
364.00	2.90309688E+5	
365.00	2.95166656E+5	
366.00	2.95919500E+5	
367.00	3.05683406E+5	
368.00	3.07458750E+5	
369.00	3.09132438E+5	
370.00	3.12397906E+5	
371.00	3.13482656E+5	
372.00	3.20892531E+5	
373.00	3.22296813E+5	
374.00	3.20080750E+5	
375.00	3.24426250E+5	
376.00	3.23677375E+5	
377.00	3.20824625E+5	
378.00	3.27428438E+5	
379.00	3.24010938E+5	
380.00	3.24349781E+5	
381.00	3.27557719E+5	
382.00	3.27930969E+5	
383.00	3.31310438E+5	
384.00	3.27170344E+5	
385.00	3.27332219E+5	
386.00	3.33783844E+5	
387.00	3.32053125E+5	
388.00	3.28052531E+5	
389.00	3.32320875E+5	
390.00	3.31413656E+5	
391.00	3.31873469E+5	
392.00	3.30668813E+5	
393.00	3.31001719E+5	
394.00	3.25364719E+5	
395.00	3.24355500E+5	
396.00	3.26960156E+5	
397.00	3.33658688E+5	
398.00	3.37884969E+5	
399.00	3.40391469E+5	
400.00	3.35986281E+5	
401.00	3.42029500E+5	
402.00	3.40479844E+5	
403.00	3.39874531E+5	
404.00	3.37195031E+5	
405.00	3.36420000E+5	
406.00	3.31781719E+5	
407.00	3.26704313E+5	
408.00	3.18439969E+5	
409.00	3.08651719E+5	
410.00	3.02948094E+5	
411.00	2.92736969E+5	
412.00	2.88951344E+5	
413.00	2.78409594E+5	
414.00	2.71278188E+5	
415.00	2.62197219E+5	
416.00	2.55231922E+5	
417.00	2.47330172E+5	
418.00	2.42336078E+5	
419.00	2.36912719E+5	
420.00	1.71627969E+5	
421.00	1.70320766E+5	
422.00	1.66777766E+5	
423.00	1.67856328E+5	
424.00	1.70117781E+5	
425.00	1.70413672E+5	
426.00	1.73694000E+5	
427.00	1.74091359E+5	
428.00	1.79115422E+5	
429.00	1.78389594E+5	
430.00	1.79237000E+5	
431.00	1.80467406E+5	
432.00	1.81220672E+5	
433.00	1.83457516E+5	
434.00	1.90518656E+5	
435.00	1.89749625E+5	
436.00	1.92803906E+5	
437.00	1.96420016E+5	
438.00	2.03449750E+5	
439.00	2.08464844E+5	
440.00	2.14314656E+5	
441.00	2.17930563E+5	
442.00	2.25227500E+5	
443.00	2.29491359E+5	
444.00	2.33796813E+5	
445.00	2.35554156E+5	
446.00	2.43018938E+5	
447.00	2.45547078E+5	
448.00	2.45720953E+5	
449.00	2.45515875E+5	
450.00	2.53530406E+5	
451.00	2.60363719E+5	
452.00	2.63483688E+5	
453.00	2.68609125E+5	
454.00	2.69910625E+5	
455.00	2.68952313E+5	
456.00	2.69389375E+5	
457.00	2.70384438E+5	
458.00	2.72494250E+5	
459.00	2.76149625E+5	
460.00	2.68573063E+5	
461.00	2.62772250E+5	
462.00	2.66358906E+5	
463.00	2.75393531E+5	
464.00	2.75635219E+5	
465.00	2.65992438E+5	
466.00	2.61279313E+5	
467.00	2.66252531E+5	
468.00	2.75819313E+5	
469.00	2.89188656E+5	
470.00	2.92311156E+5	
471.00	2.84430938E+5	
472.00	2.82864156E+5	
473.00	2.83458438E+5	
474.00	2.89581125E+5	
475.00	2.93054563E+5	
476.00	2.85659906E+5	
477.00	2.86299219E+5	
478.00	2.81151625E+5	
479.00	2.75665938E+5	
480.00	2.72025406E+5	
481.00	2.71649156E+5	
482.00	2.76622906E+5	
483.00	2.76843469E+5	
484.00	2.74975281E+5	
485.00	2.77310844E+5	
486.00	2.75215219E+5	
487.00	2.77652063E+5	
488.00	2.77754719E+5	
489.00	2.78807844E+5	
490.00	2.80636906E+5	
491.00	2.79035063E+5	
492.00	2.85977844E+5	
493.00	2.99008656E+5	
494.00	3.08109625E+5	
495.00	3.18679906E+5	
496.00	3.24226750E+5	
497.00	3.31212781E+5	
498.00	3.41061469E+5	
499.00	3.50052469E+5	
500.00	3.57347094E+5	
501.00	3.73730438E+5	
502.00	3.76228531E+5	
503.00	3.76028938E+5	
504.00	3.78683969E+5	
505.00	3.77742688E+5	
506.00	3.77189031E+5	
507.00	3.67982344E+5	
508.00	3.66255031E+5	
509.00	3.67402063E+5	
510.00	3.55222938E+5	
511.00	3.49317938E+5	
512.00	3.41873281E+5	
513.00	3.32146063E+5	
514.00	3.23574188E+5	
515.00	3.14341906E+5	
516.00	3.01297938E+5	
517.00	2.94260469E+5	
518.00	2.83963031E+5	
519.00	2.75557563E+5	
520.00	2.70633281E+5	
521.00	2.57667984E+5	
522.00	2.53542016E+5	
523.00	2.46544438E+5	
524.00	2.39203453E+5	
525.00	2.34820781E+5	
526.00	2.30759344E+5	
527.00	2.29718344E+5	
528.00	2.23653969E+5	
529.00	2.27114016E+5	
530.00	2.22410609E+5	
531.00	2.26088391E+5	
532.00	2.22326734E+5	
533.00	2.26115219E+5	
534.00	2.26646219E+5	
535.00	2.30834047E+5	
536.00	2.35551813E+5	
537.00	2.41284563E+5	
538.00	2.45578453E+5	
539.00	2.55138625E+5	
540.00	2.59600641E+5	
541.00	2.63751406E+5	
542.00	2.66383219E+5	
543.00	2.68190438E+5	
544.00	2.66012750E+5	
545.00	2.60334422E+5	
546.00	2.53398609E+5	
547.00	2.40972203E+5	
548.00	2.32642969E+5	
549.00	2.25279578E+5	
550.00	2.12856344E+5	
551.00	2.10373703E+5	
552.00	1.98483219E+5	
553.00	1.98041344E+5	
554.00	1.97137438E+5	
555.00	1.97021656E+5	
556.00	1.95742031E+5	
557.00	1.93455609E+5	
558.00	1.90530828E+5	
559.00	1.86441156E+5	
560.00	1.79861813E+5	
561.00	1.77122578E+5	
562.00	1.65046656E+5	
563.00	1.57159797E+5	
564.00	1.43211281E+5	
565.00	1.32075359E+5	
566.00	1.21093844E+5	
567.00	1.12728883E+5	
568.00	1.00023438E+5	
569.00	9.00715000E+4	
570.00	8.28987969E+4	
