Hf-2(PCN-223)-O2 MAP 2.5 2.5

Labels	Ex1 360.00nm	Ex1 370.00nm	Ex1 380.00nm	Ex1 390.00nm	Ex1 400.00nm	Ex1 410.00nm	Ex1 420.00nm	Ex1 430.00nm	Ex1 440.00nm	Ex1 450.00nm	Ex1 460.00nm	Ex1 470.00nm	Ex1 480.00nm	Ex1 490.00nm	Ex1 500.00nm	Ex1 510.00nm	Ex1 520.00nm	Ex1 530.00nm	Ex1 540.00nm	Ex1 550.00nm	Ex1 560.00nm	Ex1 570.00nm	
600.00	7.45000000E+2	8.81000000E+2	8.24000000E+2	6.95000000E+2	7.29000000E+2	7.37000000E+2	7.78000000E+2	7.64000000E+2	7.44000000E+2	9.58000000E+2	1.17900000E+3	1.44500000E+3	1.24100000E+3	1.04200000E+3	8.63000000E+2	7.18000000E+2	8.23000000E+2	8.19000000E+2	7.26000000E+2	6.69000000E+2	7.14000000E+2	4.69000000E+2	
601.00	8.17000000E+2	8.23000000E+2	8.76000000E+2	8.07000000E+2	8.48000000E+2	8.19000000E+2	8.72000000E+2	9.01000000E+2	7.79000000E+2	1.02800000E+3	1.25700000E+3	1.59000000E+3	1.30500000E+3	1.13600000E+3	1.01100000E+3	8.14000000E+2	8.93000000E+2	9.54000000E+2	7.68000000E+2	7.54000000E+2	8.09000000E+2	4.79000000E+2	
602.00	9.48000000E+2	9.59000000E+2	9.27000000E+2	8.97000000E+2	9.13000000E+2	9.08000000E+2	9.04000000E+2	9.03000000E+2	8.82000000E+2	1.10000000E+3	1.39100000E+3	1.72300000E+3	1.44900000E+3	1.24600000E+3	1.10200000E+3	9.89000000E+2	9.97000000E+2	9.76000000E+2	8.45000000E+2	8.55000000E+2	8.73000000E+2	6.15000000E+2	
603.00	9.92000000E+2	1.11700000E+3	1.10400000E+3	9.58000000E+2	1.02800000E+3	9.72000000E+2	1.06100000E+3	1.10700000E+3	9.87000000E+2	1.29700000E+3	1.60300000E+3	1.81700000E+3	1.67200000E+3	1.32200000E+3	1.08900000E+3	1.05400000E+3	1.21200000E+3	1.15500000E+3	9.76000000E+2	8.46000000E+2	9.16000000E+2	6.18000000E+2	
604.00	1.13800000E+3	1.19600000E+3	1.16600000E+3	1.06000000E+3	1.13900000E+3	1.08000000E+3	1.11300000E+3	1.10500000E+3	1.11000000E+3	1.31100000E+3	1.76300000E+3	2.02300000E+3	1.81500000E+3	1.52600000E+3	1.30200000E+3	1.12000000E+3	1.21500000E+3	1.29600000E+3	1.04700000E+3	9.58000000E+2	1.01900000E+3	6.23000000E+2	
605.00	1.15700000E+3	1.28800000E+3	1.24600000E+3	1.17100000E+3	1.25300000E+3	1.40300000E+3	1.30100000E+3	1.26500000E+3	1.22200000E+3	1.52400000E+3	1.81200000E+3	2.17700000E+3	1.97600000E+3	1.70100000E+3	1.37000000E+3	1.23000000E+3	1.43400000E+3	1.34900000E+3	1.13300000E+3	1.06100000E+3	1.13400000E+3	6.02000000E+2	
606.00	1.27400000E+3	1.38400000E+3	1.36700000E+3	1.33800000E+3	1.32300000E+3	1.50700000E+3	1.43900000E+3	1.44700000E+3	1.29900000E+3	1.70700000E+3	2.03500000E+3	2.41400000E+3	2.21400000E+3	1.80000000E+3	1.52400000E+3	1.27100000E+3	1.58500000E+3	1.59400000E+3	1.31100000E+3	1.43000000E+3	1.19600000E+3	7.20000000E+2	
607.00	1.38000000E+3	1.53400000E+3	1.47600000E+3	1.49300000E+3	1.48200000E+3	1.63900000E+3	1.54900000E+3	1.62400000E+3	1.40800000E+3	1.78700000E+3	2.21000000E+3	2.61200000E+3	2.32500000E+3	1.93900000E+3	1.65000000E+3	1.58900000E+3	1.61500000E+3	1.73500000E+3	1.45900000E+3	1.65300000E+3	1.40000000E+3	7.68000000E+2	
608.00	1.58400000E+3	1.63700000E+3	1.67100000E+3	1.56600000E+3	1.53400000E+3	1.79600000E+3	1.72100000E+3	1.74300000E+3	1.56800000E+3	2.02200000E+3	2.55300000E+3	2.84000000E+3	2.61100000E+3	2.04900000E+3	1.85900000E+3	1.73200000E+3	1.63900000E+3	1.95300000E+3	1.58300000E+3	1.69500000E+3	1.42000000E+3	7.82000000E+2	
609.00	1.62300000E+3	1.78900000E+3	1.85900000E+3	1.78900000E+3	1.84600000E+3	1.84700000E+3	1.93400000E+3	1.91000000E+3	1.77000000E+3	2.16300000E+3	2.71300000E+3	3.05800000E+3	3.19900000E+3	2.36500000E+3	2.09500000E+3	1.87000000E+3	1.83900000E+3	2.09100000E+3	1.77900000E+3	1.74300000E+3	1.55000000E+3	8.37000000E+2	
610.00	1.83900000E+3	1.89700000E+3	2.00500000E+3	2.05100000E+3	2.06800000E+3	2.04500000E+3	2.10100000E+3	2.03500000E+3	1.87000000E+3	2.24800000E+3	2.99100000E+3	3.43000000E+3	3.24700000E+3	2.56500000E+3	2.28700000E+3	2.02100000E+3	2.06800000E+3	2.25200000E+3	1.84500000E+3	1.97000000E+3	1.71700000E+3	8.79000000E+2	
611.00	1.88900000E+3	2.22900000E+3	2.17500000E+3	2.09700000E+3	2.18300000E+3	2.21400000E+3	2.23600000E+3	2.22800000E+3	2.01500000E+3	2.44000000E+3	3.11400000E+3	3.59100000E+3	3.32600000E+3	2.68700000E+3	2.31700000E+3	2.21500000E+3	2.17900000E+3	2.36200000E+3	2.10200000E+3	1.92300000E+3	1.80100000E+3	9.21000000E+2	
612.00	2.10700000E+3	2.27300000E+3	2.32700000E+3	2.28900000E+3	2.51900000E+3	2.44600000E+3	2.38800000E+3	2.38800000E+3	2.25500000E+3	2.73500000E+3	3.32500000E+3	3.84600000E+3	3.55900000E+3	2.88100000E+3	2.52600000E+3	2.41900000E+3	2.38800000E+3	2.54300000E+3	2.09700000E+3	2.20200000E+3	1.88800000E+3	1.03700000E+3	
613.00	2.12900000E+3	2.42200000E+3	2.42000000E+3	2.36400000E+3	2.62300000E+3	2.58300000E+3	2.43500000E+3	2.56600000E+3	2.45000000E+3	3.00700000E+3	3.52500000E+3	4.14100000E+3	3.83600000E+3	3.12100000E+3	2.70700000E+3	2.41600000E+3	2.47100000E+3	2.63400000E+3	2.34600000E+3	2.20500000E+3	2.01600000E+3	1.07900000E+3	
614.00	2.24300000E+3	2.55000000E+3	2.51300000E+3	2.69100000E+3	2.68000000E+3	2.78600000E+3	2.49300000E+3	2.58400000E+3	2.54600000E+3	3.07300000E+3	3.69100000E+3	4.32600000E+3	3.94200000E+3	3.20700000E+3	3.07900000E+3	2.56900000E+3	2.46700000E+3	2.69700000E+3	2.44900000E+3	2.14300000E+3	1.98000000E+3	1.04100000E+3	
615.00	2.29900000E+3	2.59800000E+3	2.82000000E+3	2.82100000E+3	2.87500000E+3	2.91400000E+3	2.61100000E+3	2.62200000E+3	2.66800000E+3	3.22900000E+3	4.07600000E+3	4.41100000E+3	4.10400000E+3	3.39000000E+3	3.19400000E+3	2.83400000E+3	2.61500000E+3	2.90400000E+3	2.52800000E+3	2.25000000E+3	2.08800000E+3	1.05000000E+3	
616.00	2.46300000E+3	2.76400000E+3	2.87200000E+3	2.93700000E+3	3.22100000E+3	3.18600000E+3	2.73500000E+3	2.73200000E+3	2.88000000E+3	3.28500000E+3	3.98800000E+3	4.65400000E+3	4.22200000E+3	3.36900000E+3	3.47000000E+3	2.92300000E+3	2.73500000E+3	2.87700000E+3	2.50900000E+3	2.14600000E+3	2.14800000E+3	1.01700000E+3	
617.00	2.66600000E+3	2.80200000E+3	3.02700000E+3	3.17800000E+3	3.54900000E+3	3.40900000E+3	2.68000000E+3	2.86200000E+3	2.77900000E+3	3.58200000E+3	4.33900000E+3	4.88600000E+3	4.60300000E+3	3.53100000E+3	3.55700000E+3	3.14600000E+3	2.78700000E+3	2.89700000E+3	2.72200000E+3	2.32300000E+3	2.13000000E+3	1.08600000E+3	
618.00	2.59800000E+3	2.95400000E+3	3.07900000E+3	3.44300000E+3	3.80600000E+3	3.52100000E+3	2.81100000E+3	2.99200000E+3	3.06100000E+3	3.87100000E+3	4.44000000E+3	5.05400000E+3	4.79400000E+3	3.79100000E+3	3.95900000E+3	3.58800000E+3	2.89800000E+3	2.82400000E+3	2.62800000E+3	2.34200000E+3	1.78200000E+3	1.09800000E+3	
619.00	2.70300000E+3	3.14300000E+3	3.36200000E+3	3.75500000E+3	4.16600000E+3	3.70200000E+3	3.15800000E+3	3.04500000E+3	3.11000000E+3	4.16700000E+3	4.89000000E+3	5.34400000E+3	4.89700000E+3	3.92900000E+3	3.79600000E+3	3.72600000E+3	2.93300000E+3	2.83700000E+3	2.77800000E+3	2.33600000E+3	1.45800000E+3	1.09000000E+3	
620.00	2.80300000E+3	3.29100000E+3	3.70800000E+3	3.82300000E+3	4.52700000E+3	4.08700000E+3	3.27600000E+3	3.09800000E+3	3.51700000E+3	4.48800000E+3	5.13700000E+3	5.77800000E+3	5.17000000E+3	4.48800000E+3	3.71000000E+3	4.09500000E+3	3.16000000E+3	2.98800000E+3	2.92300000E+3	2.43300000E+3	1.24900000E+3	1.09300000E+3	
621.00	3.02700000E+3	3.53900000E+3	3.96600000E+3	4.34800000E+3	5.04000000E+3	4.53300000E+3	3.51900000E+3	3.81200000E+3	3.62200000E+3	4.88700000E+3	5.50300000E+3	5.97800000E+3	5.47500000E+3	4.63600000E+3	3.99300000E+3	4.36600000E+3	3.33400000E+3	3.06900000E+3	3.07200000E+3	2.62900000E+3	1.19600000E+3	1.15200000E+3	
622.00	3.15400000E+3	3.91700000E+3	4.31800000E+3	4.75200000E+3	5.82400000E+3	4.93100000E+3	3.53000000E+3	4.17700000E+3	3.98100000E+3	5.34800000E+3	6.06900000E+3	6.54700000E+3	6.06300000E+3	4.88000000E+3	4.69000000E+3	4.87800000E+3	3.63800000E+3	3.33800000E+3	3.31700000E+3	2.71800000E+3	1.11900000E+3	1.17500000E+3	
623.00	3.59100000E+3	4.22400000E+3	4.77200000E+3	5.30400000E+3	6.27600000E+3	5.61200000E+3	3.78800000E+3	4.29400000E+3	4.30800000E+3	5.82700000E+3	6.55400000E+3	7.14400000E+3	6.52600000E+3	5.32800000E+3	5.15900000E+3	5.55000000E+3	3.89000000E+3	3.42800000E+3	3.59800000E+3	2.91300000E+3	1.11900000E+3	1.25500000E+3	
624.00	3.71300000E+3	4.69700000E+3	5.22200000E+3	5.86800000E+3	7.30000000E+3	6.20500000E+3	4.17100000E+3	4.53700000E+3	4.65700000E+3	6.50100000E+3	7.21400000E+3	8.16700000E+3	7.22100000E+3	5.99400000E+3	5.95400000E+3	6.05500000E+3	4.33300000E+3	3.77600000E+3	3.95700000E+3	3.18300000E+3	1.19300000E+3	1.31500000E+3	
625.00	4.21900000E+3	5.17900000E+3	5.80600000E+3	6.66000000E+3	8.04800000E+3	6.88400000E+3	4.49800000E+3	4.77600000E+3	5.29300000E+3	7.10500000E+3	7.82800000E+3	8.84700000E+3	7.74500000E+3	6.69000000E+3	6.95300000E+3	7.00100000E+3	4.72900000E+3	3.98600000E+3	4.25600000E+3	3.43800000E+3	1.32700000E+3	1.36600000E+3	
626.00	4.60300000E+3	5.59600000E+3	6.57900000E+3	7.58600000E+3	9.15400000E+3	7.82000000E+3	5.02600000E+3	5.25700000E+3	5.64800000E+3	8.27200000E+3	8.88100000E+3	9.64800000E+3	8.58800000E+3	7.26700000E+3	7.59000000E+3	7.68200000E+3	5.33700000E+3	4.28800000E+3	4.65000000E+3	3.48700000E+3	1.53300000E+3	1.38700000E+3	
627.00	5.15400000E+3	6.36500000E+3	7.43300000E+3	8.42700000E+3	9.95500000E+3	9.15600000E+3	5.51400000E+3	5.69300000E+3	6.48100000E+3	9.17900000E+3	9.97000000E+3	1.11880000E+4	9.62000000E+3	8.03000000E+3	8.90700000E+3	8.63800000E+3	5.91900000E+3	4.88700000E+3	5.32900000E+3	3.90200000E+3	1.68100000E+3	1.33800000E+3	
628.00	5.70300000E+3	7.17200000E+3	8.72000000E+3	9.18900000E+3	1.13100000E+4	1.01510000E+4	6.51500000E+3	6.23300000E+3	7.12400000E+3	1.02080000E+4	1.11710000E+4	1.21650000E+4	1.07770000E+4	9.05100000E+3	1.01000000E+4	9.71100000E+3	6.72700000E+3	5.28400000E+3	5.68100000E+3	4.28700000E+3	1.94500000E+3	1.53400000E+3	
629.00	6.23300000E+3	7.71800000E+3	9.46700000E+3	1.05670000E+4	1.30320000E+4	1.12980000E+4	7.07600000E+3	6.93300000E+3	8.03000000E+3	1.14760000E+4	1.25050000E+4	1.36750000E+4	1.19920000E+4	1.03520000E+4	1.14210000E+4	1.11910000E+4	7.26700000E+3	5.86800000E+3	6.33300000E+3	4.76200000E+3	2.24400000E+3	1.67600000E+3	
630.00	7.09800000E+3	8.74600000E+3	1.06000000E+4	1.17880000E+4	1.45130000E+4	1.25890000E+4	7.89500000E+3	7.50400000E+3	8.95600000E+3	1.28350000E+4	1.37790000E+4	1.53690000E+4	1.32710000E+4	1.12440000E+4	1.26920000E+4	1.23440000E+4	7.98800000E+3	6.42500000E+3	7.05800000E+3	5.28000000E+3	2.50600000E+3	1.97900000E+3	
