July 5, 2017   14:42:36
Cyclic Voltammetry
File: 1cv pt-0.1m h2so4 aq + 5mm hcooh.bin
Data Source:  Experiment
Instrument Model:  CHI1000C
Header: 
Note: 

Init E (V) = -0.1
High E (V) = 1
Low E (V) = -0.1
Init P/N = P
Scan Rate (V/s) = 0.05
Segment = 10
Sample Interval (V) = 0.002
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Segment 1:

Segment 2:

Segment 3:
Ep = 0.644V
ip = 1.262e-4A
Ah = 1.566e-4C

Segment 4:

Segment 5:
Ep = 0.648V
ip = 2.561e-4A
Ah = 3.448e-4C

Segment 6:

Segment 7:
Ep = 0.650V
ip = 3.276e-4A
Ah = 4.331e-4C

Segment 8:

Segment 9:
Ep = 0.652V
ip = 3.682e-4A
Ah = 4.776e-4C

Segment 10:

Potential/V, Current/A, Charge/C, Time/s

-0.098, -8.641e-6, -3.456e-7, 4.000e-2
-0.096, -7.643e-6, -6.514e-7, 8.000e-2
-0.094, -6.963e-6, -9.299e-7, 1.200e-1
-0.092, -6.421e-6, -1.187e-6, 1.600e-1
-0.090, -5.868e-6, -1.421e-6, 2.000e-1
-0.088, -5.336e-6, -1.635e-6, 2.400e-1
-0.086, -4.808e-6, -1.827e-6, 2.800e-1
-0.084, -4.281e-6, -1.998e-6, 3.200e-1
-0.082, -3.712e-6, -2.147e-6, 3.600e-1
-0.080, -3.215e-6, -2.276e-6, 4.000e-1
-0.078, -2.684e-6, -2.383e-6, 4.400e-1
-0.076, -2.158e-6, -2.469e-6, 4.800e-1
-0.074, -1.647e-6, -2.535e-6, 5.200e-1
-0.072, -1.101e-6, -2.579e-6, 5.600e-1
-0.070, -5.450e-7, -2.601e-6, 6.000e-1
-0.068, 5.734e-9, -2.601e-6, 6.400e-1
-0.066, 5.606e-7, -2.578e-6, 6.800e-1
-0.064, 1.109e-6, -2.534e-6, 7.200e-1
-0.062, 1.685e-6, -2.467e-6, 7.600e-1
-0.060, 2.249e-6, -2.377e-6, 8.000e-1
-0.058, 2.833e-6, -2.263e-6, 8.400e-1
-0.056, 3.471e-6, -2.124e-6, 8.800e-1
-0.054, 4.066e-6, -1.962e-6, 9.200e-1
-0.052, 4.700e-6, -1.774e-6, 9.600e-1
-0.050, 5.355e-6, -1.560e-6, 1.000e+0
-0.048, 5.986e-6, -1.320e-6, 1.040e+0
-0.046, 6.648e-6, -1.054e-6, 1.080e+0
-0.044, 7.343e-6, -7.605e-7, 1.120e+0
-0.042, 8.005e-6, -4.403e-7, 1.160e+0
-0.040, 8.715e-6, -9.172e-8, 1.200e+0
