Region	Enabled	DataFlag	Start	End	Step	Sweeps	Dwell	Mode	CAE/CRR	Mag	Divide by Ten	Notes	Function	Line-Style	Point-Style	Sweeps-Acquired
1	true	Original	1386.7	50.0	-0.5	1	0.200	CAE	50.00	High	false		7 Channel Acquisition			1
Layer	Enabled	DataFlag	Notes	Formula	Line-Style	Point-Style
1	True		Ch(1)+Ch(2)+Ch(3)+Ch(4)+Ch(5)+Ch(6)+Ch(7)		
Energy	Counts
1386.7	431
1386.2	415
1385.7	420
1385.2	435
1384.7	383
1384.2	391
1383.7	434
1383.2	416
1382.7	429
1382.2	414
1381.7	401
1381.2	395
1380.7	382
1380.2	394
1379.7	414
1379.2	387
1378.7	395
1378.2	411
1377.7	377
1377.2	385
1376.7	392
1376.2	399
1375.7	386
1375.2	382
1374.7	393
1374.2	406
1373.7	381
1373.2	412
1372.7	406
1372.2	394
1371.7	386
1371.2	369
1370.7	384
1370.2	347
1369.7	344
1369.2	404
1368.7	385
1368.2	354
1367.7	382
1367.2	384
1366.7	365
1366.2	378
1365.7	378
1365.2	382
1364.7	355
1364.2	377
1363.7	388
1363.2	374
1362.7	378
1362.2	389
1361.7	388
1361.2	374
1360.7	378
1360.2	352
1359.7	340
1359.2	363
1358.7	367
1358.2	381
1357.7	358
1357.2	365
1356.7	357
1356.2	337
1355.7	370
1355.2	365
1354.7	375
1354.2	334
1353.7	360
1353.2	382
1352.7	354
1352.2	352
1351.7	366
1351.2	345
1350.7	342
1350.2	367
1349.7	343
1349.2	346
1348.7	321
1348.2	333
1347.7	356
1347.2	360
1346.7	356
1346.2	357
1345.7	333
1345.2	345
1344.7	350
1344.2	341
1343.7	337
1343.2	337
1342.7	360
1342.2	336
1341.7	318
1341.2	356
1340.7	381
1340.2	345
1339.7	352
1339.2	346
1338.7	346
1338.2	327
1337.7	335
1337.2	336
1336.7	325
1336.2	301
1335.7	336
1335.2	323
1334.7	333
1334.2	341
1333.7	329
1333.2	327
1332.7	328
1332.2	329
1331.7	340
1331.2	329
1330.7	340
1330.2	338
1329.7	322
1329.2	296
1328.7	325
1328.2	321
1327.7	335
1327.2	341
1326.7	328
1326.2	325
1325.7	342
1325.2	341
1324.7	348
1324.2	330
1323.7	336
1323.2	336
1322.7	309
1322.2	288
1321.7	304
1321.2	334
1320.7	340
1320.2	305
1319.7	347
1319.2	322
1318.7	295
1318.2	312
1317.7	317
1317.2	329
1316.7	310
1316.2	327
1315.7	310
1315.2	307
1314.7	314
1314.2	318
1313.7	316
1313.2	309
1312.7	326
1312.2	304
1311.7	307
1311.2	319
1310.7	307
1310.2	326
1309.7	327
1309.2	329
1308.7	310
1308.2	308
1307.7	312
1307.2	327
1306.7	314
1306.2	330
1305.7	315
1305.2	324
1304.7	360
1304.2	338
1303.7	339
1303.2	315
1302.7	323
1302.2	284
1301.7	327
1301.2	337
1300.7	324
1300.2	308
1299.7	310
1299.2	327
1298.7	299
1298.2	309
1297.7	334
1297.2	317
1296.7	290
1296.2	298
1295.7	305
1295.2	310
1294.7	277
1294.2	309
1293.7	304
1293.2	306
1292.7	318
1292.2	304
1291.7	334
1291.2	306
1290.7	327
1290.2	335
1289.7	333
1289.2	311
1288.7	317
1288.2	362
1287.7	322
1287.2	284
1286.7	325
1286.2	323
1285.7	336
1285.2	320
1284.7	350
1284.2	331
1283.7	338
1283.2	326
1282.7	337
1282.2	329
1281.7	317
1281.2	312
1280.7	285
1280.2	333
1279.7	312
1279.2	327
1278.7	329
1278.2	321
1277.7	339
1277.2	315
1276.7	349
1276.2	361
1275.7	338
1275.2	324
1274.7	334
1274.2	306
1273.7	311
1273.2	335
1272.7	309
1272.2	324
1271.7	318
1271.2	339
1270.7	297
1270.2	280
1269.7	318
1269.2	331
1268.7	343
1268.2	304
1267.7	287
1267.2	322
1266.7	317
1266.2	323
1265.7	330
1265.2	328
1264.7	344
1264.2	322
1263.7	299
1263.2	335
1262.7	341
1262.2	352
1261.7	332
1261.2	305
1260.7	299
1260.2	327
1259.7	300
1259.2	310
1258.7	303
1258.2	315
1257.7	311
1257.2	315
1256.7	332
1256.2	298
1255.7	294
1255.2	334
1254.7	346
1254.2	332
1253.7	308
1253.2	340
1252.7	315
1252.2	318
1251.7	307
1251.2	310
1250.7	315
1250.2	312
1249.7	333
1249.2	334
1248.7	329
1248.2	346
1247.7	327
1247.2	337
1246.7	337
1246.2	340
1245.7	349
1245.2	339
1244.7	351
1244.2	304
1243.7	351
1243.2	358
1242.7	301
1242.2	302
1241.7	333
1241.2	323
1240.7	358
1240.2	345
1239.7	347
1239.2	345
1238.7	340
1238.2	318
1237.7	338
1237.2	303
1236.7	324
1236.2	335
1235.7	341
1235.2	323
1234.7	344
1234.2	316
1233.7	337
1233.2	349
1232.7	344
1232.2	338
1231.7	322
1231.2	313
1230.7	373
1230.2	361
1229.7	342
1229.2	367
1228.7	349
1228.2	357
1227.7	386
1227.2	351
1226.7	368
1226.2	345
1225.7	340
1225.2	353
1224.7	333
1224.2	333
1223.7	345
1223.2	337
1222.7	365
1222.2	339
1221.7	339
1221.2	364
1220.7	346
1220.2	327
1219.7	314
1219.2	317
1218.7	300
1218.2	339
1217.7	336
1217.2	309
1216.7	310
1216.2	333
1215.7	324
1215.2	335
1214.7	301
1214.2	325
1213.7	314
1213.2	321
1212.7	297
1212.2	300
1211.7	312
1211.2	325
1210.7	311
1210.2	273
1209.7	342
1209.2	315
1208.7	310
1208.2	310
1207.7	271
1207.2	265
1206.7	306
1206.2	314
1205.7	302
1205.2	302
1204.7	280
1204.2	295
1203.7	331
1203.2	293
1202.7	286
1202.2	293
1201.7	305
1201.2	330
1200.7	312
1200.2	320
1199.7	324
1199.2	294
1198.7	279
1198.2	295
1197.7	322
1197.2	311
1196.7	310
1196.2	302
1195.7	299
1195.2	334
1194.7	299
1194.2	294
1193.7	313
1193.2	303
1192.7	287
1192.2	312
1191.7	333
1191.2	320
1190.7	317
1190.2	280
1189.7	331
1189.2	329
1188.7	332
1188.2	310
1187.7	306
1187.2	300
1186.7	313
1186.2	312
1185.7	331
1185.2	345
1184.7	307
1184.2	326
1183.7	327
1183.2	306
1182.7	330
1182.2	335
1181.7	316
1181.2	309
1180.7	304
1180.2	317
1179.7	315
1179.2	313
1178.7	292
1178.2	290
1177.7	330
1177.2	327
1176.7	303
1176.2	316
1175.7	328
1175.2	333
1174.7	303
1174.2	318
1173.7	301
1173.2	327
1172.7	311
1172.2	317
1171.7	313
1171.2	326
1170.7	308
1170.2	291
1169.7	321
1169.2	330
1168.7	314
1168.2	325
1167.7	317
1167.2	302
1166.7	319
1166.2	342
1165.7	297
1165.2	308
1164.7	319
1164.2	307
1163.7	307
1163.2	306
